id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8.37654e+17,Rental unit in Chicago · ★4.51 · Studio · 1 bed · 1 bath,435105119,Sonder (Chicago),0.0,Near West Side,41.8835,-87.6639,Entire home/apt,111.0,2,166,03-12-2023,17.91,41,0,166,2881881
8.3766e+17,Rental unit in Chicago · ★4.71 · Studio · 1 bed · 1 bath,435105119,Sonder (Chicago),0.0,Near West Side,41.88515834,-87.66426026,Entire home/apt,106.0,2,85,27-11-2023,8.85,41,311,85,2881881
8.28415e+17,Home in Chicago · ★4.94 · 1 bedroom · 2 beds · 1 shared bath,85647159,Masato Or Akiko,0.0,Mckinley Park,41.83278794,-87.68346105,Private room,60.0,1,17,12-11-2023,1.73,5,0,17,R22000094997
8.37662e+17,Rental unit in Norridge · ★5.0 · 1 bedroom · 1 bed · 1 bath,48976919,Nicholas,0.0,Ohare,41.9717227,-87.847243,Entire home/apt,220.0,1,3,20-11-2023,1.84,6,364,3,0
8.38126e+17,Rental unit in Chicago · 2 bedrooms · 2 beds · 2 baths,107434423,Blueground,0.0,Lake View,41.945173,-87.641759,Entire home/apt,120.0,32,0,0,0.0,643,365,0,0
8.28418e+17,Rental unit in Chicago · ★5.0 · 3 bedrooms · 3 beds · 1 bath,157235585,Abia,0.0,Jefferson Park,41.99008254,-87.77657074,Entire home/apt,94.0,2,22,01-12-2023,2.7,7,67,22,R23000098762
8.38238e+17,Rental unit in Chicago · ★4.93 · Studio · 1 bed · 1 bath,22796024,James,0.0,Near North Side,41.89081378,-87.62826415,Entire home/apt,147.0,4,43,05-12-2023,4.9,10,0,43,2210737
8.28474e+17,Serviced apartment in Chicago · 3 bedrooms · 3 beds · 3 baths,501371725,Level Chicago,0.0,Near West Side,41.8882948,-87.6462779,Entire home/apt,242.0,32,0,0,0.0,23,365,0,0
8.28474e+17,Hotel in Chicago · 2 bedrooms · 2 beds · 2 baths,501371725,Level Chicago,0.0,Near West Side,41.8882948,-87.6462779,Private room,226.0,32,0,0,0.0,23,365,0,0
8.2848e+17,Rental unit in Chicago · ★4.56 · Studio · 1 bed · 1 bath,96730613,Demitri,0.0,Portage Park,41.9626656,-87.7559615,Entire home/apt,65.0,2,18,02-12-2023,2.01,28,159,18,R22000077379
8.3869e+17,Rental unit in Chicago · ★4.77 · 3 bedrooms · 4 beds · 2 baths,732200,Florin,0.0,Lake View,41.93788423,-87.66723115,Entire home/apt,244.0,2,22,05-11-2023,2.34,2,172,22,R23000097375
8.28567e+17,Rental unit in Chicago · 2 bedrooms · 3 beds · 2 baths,484957190,ChiHausK,0.0,Loop,41.88678711,-87.62006152,Entire home/apt,162.0,32,0,0,0.0,15,365,0,0
